latitude,longitude,time
28.8801961,-81.2816726,2022-05-10 15:05:14.500000+00:00
28.8801667,-81.2816819,2022-05-10 15:05:14.600000+00:00
28.8801372,-81.2816911,2022-05-10 15:05:14.700000+00:00
28.880107799999998,-81.2817003,2022-05-10 15:05:14.800000+00:00
28.8800785,-81.2817097,2022-05-10 15:05:14.900000+00:00
28.880049,-81.2817189,2022-05-10 15:05:15+00:00
28.880019599999997,-81.2817281,2022-05-10 15:05:15.100000+00:00
28.8799903,-81.2817374,2022-05-10 15:05:15.200000+00:00
28.8799609,-81.2817467,2022-05-10 15:05:15.300000+00:00
28.8799314,-81.2817559,2022-05-10 15:05:15.400000+00:00
28.8799021,-81.2817652,2022-05-10 15:05:15.500000+00:00
28.8798727,-81.2817745,2022-05-10 15:05:15.600000+00:00
28.879843299999997,-81.2817839,2022-05-10 15:05:15.700000+00:00
28.879814,-81.2817931,2022-05-10 15:05:15.800000+00:00
28.8797847,-81.2818025,2022-05-10 15:05:15.900000+00:00
28.879755199999998,-81.2818119,2022-05-10 15:05:16+00:00
28.8797258,-81.28182129999999,2022-05-10 15:05:16.100000+00:00
28.8796966,-81.2818307,2022-05-10 15:05:16.200000+00:00
28.8796672,-81.28184,2022-05-10 15:05:16.300000+00:00
28.8796377,-81.28184929999999,2022-05-10 15:05:16.400000+00:00
28.8796084,-81.2818587,2022-05-10 15:05:16.500000+00:00
28.879579099999997,-81.281868,2022-05-10 15:05:16.600000+00:00
28.8795498,-81.2818774,2022-05-10 15:05:16.700000+00:00
28.879520399999997,-81.2818868,2022-05-10 15:05:16.800000+00:00
28.879490999999998,-81.28189619999999,2022-05-10 15:05:16.900000+00:00
28.8794617,-81.2819055,2022-05-10 15:05:17+00:00
28.879432299999998,-81.2819148,2022-05-10 15:05:17.100000+00:00
28.879403099999998,-81.2819243,2022-05-10 15:05:17.200000+00:00
28.8793738,-81.2819336,2022-05-10 15:05:17.300000+00:00
28.879344399999997,-81.281943,2022-05-10 15:05:17.400000+00:00
28.879315199999997,-81.2819523,2022-05-10 15:05:17.500000+00:00
28.879285799999998,-81.2819616,2022-05-10 15:05:17.600000+00:00
28.8792564,-81.28197089999999,2022-05-10 15:05:17.700000+00:00
28.879227099999998,-81.2819803,2022-05-10 15:05:17.800000+00:00
28.879197599999998,-81.2819895,2022-05-10 15:05:17.900000+00:00
28.8791682,-81.2819988,2022-05-10 15:05:18+00:00
